,time,mood,sun,rain,max_temp,total_appuse,activity,circumplex.arousal,circumplex.valence,weekdaydummy0,weekdaydummy1,weekdaydummy2,weekdaydummy3,weekdaydummy4,weekdaydummy5,weekdaydummy6,mood_lag1,mood_lag2,mood_lag3,mood_lag4,circumplex.arousal_lag1,circumplex.arousal_lag2,circumplex.arousal_lag3,circumplex.valence_lag1,circumplex.valence_lag2,circumplex.valence_lag3,total_appuse_lag1,total_appuse_lag2,total_appuse_lag3,max_temp_lag1,max_temp_lag2,max_temp_lag3
time,0.0,0.2044,0.0047,0.0107,0.0,0.0131,0.0012,0.6865,0.0274,0.9716,0.1589,0.6652,0.8687,0.6843,0.5303,0.5612,0.1714,0.0624,0.0351,0.008,0.81,0.676,0.8266,0.0129,0.0098,0.0041,0.0143,0.0165,0.0085,0.0,0.0,0.0
mood,0.2044,0.0,0.5082,0.11,0.9491,0.0234,0.0,0.0,0.0,0.287,0.0635,0.091,0.5469,0.7869,0.0,0.4118,0.0,0.0,0.0,0.0,0.0076,0.5189,0.7432,0.0,0.0,0.0001,0.0056,0.016,0.0148,0.7431,0.896,0.7723
sun,0.0047,0.5082,0.0,0.0,0.0,0.7854,0.3131,0.1059,0.3767,0.0001,0.6848,0.0,0.0,0.3332,0.0,0.0236,0.4213,0.0872,0.2629,0.5817,0.8702,0.9078,0.9765,0.3956,0.206,0.6489,0.4784,0.596,0.6863,0.0,0.0,0.0
rain,0.0107,0.11,0.0,0.0,0.0027,0.2543,0.0166,0.2597,0.1212,0.14,0.9348,0.0001,0.5331,0.5936,0.0006,0.0,0.6171,0.8614,0.3291,0.1189,0.0432,0.0558,0.1756,0.4497,0.8732,0.8782,0.1486,0.2672,0.1316,0.0,0.0,0.9389
max_temp,0.0,0.9491,0.0,0.0027,0.0,0.3744,0.4187,0.9268,0.352,0.1312,0.0,0.1305,0.0,0.2188,0.6858,0.5394,0.427,0.842,0.3891,0.7328,0.5738,0.5089,0.1106,0.1795,0.109,0.6628,0.2995,0.4388,0.2954,0.0,0.0,0.0
total_appuse,0.0131,0.0234,0.7854,0.2543,0.3744,0.0,0.0407,0.0,0.0174,0.6762,0.9993,0.5932,0.5704,0.564,0.9013,0.8196,0.0069,0.0037,0.001,0.0035,0.0,0.0,0.0,0.0091,0.005,0.0016,0.0,0.0,0.0,0.7312,0.4461,0.2581
activity,0.0012,0.0,0.3131,0.0166,0.4187,0.0407,0.0,0.4123,0.0,0.0312,0.7057,0.3362,0.4757,0.1522,0.1133,0.0329,0.0001,0.0,0.0003,0.0003,0.2306,0.3765,0.4561,0.0001,0.0,0.0,0.0646,0.0665,0.0688,0.9891,0.8438,0.4677
circumplex.arousal,0.6865,0.0,0.1059,0.2597,0.9268,0.0,0.4123,0.0,0.0,0.3469,0.8338,0.3352,0.1549,0.6005,0.2284,0.0008,0.837,0.7023,0.8171,0.1707,0.0,0.0,0.0,0.4379,0.4944,0.383,0.0,0.0,0.0,0.3285,0.7006,0.7498
circumplex.valence,0.0274,0.0,0.3767,0.1212,0.352,0.0174,0.0,0.0,0.0,0.3054,0.2604,0.0507,0.5164,0.9234,0.0004,0.2589,0.0,0.0,0.0008,0.0,0.0038,0.1924,0.7971,0.0,0.0,0.0,0.0103,0.0304,0.0093,0.411,0.9771,0.8332
weekdaydummy0,0.9716,0.287,0.0001,0.14,0.1312,0.6762,0.0312,0.3469,0.3054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6385,0.0,0.842,0.6527,0.0003,0.0345,0.967,0.4883,0.0011,0.8581,0.7582,0.7088,0.7533,0.6185,0.9814,0.1046
weekdaydummy1,0.1589,0.0635,0.6848,0.9348,0.0,0.9993,0.7057,0.8338,0.2604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4147,0.8664,0.0,0.6472,0.6613,0.0003,0.013,0.3997,0.5784,0.0003,0.8328,0.7925,0.7463,0.922,0.1798,0.6315
weekdaydummy2,0.6652,0.091,0.0,0.0001,0.1305,0.5932,0.3362,0.3352,0.0507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0617,0.516,0.8156,0.0,0.9468,0.5078,0.0009,0.2412,0.286,0.4765,0.8785,0.9696,0.9883,0.0,0.6689,0.3022
weekdaydummy3,0.8687,0.5469,0.0,0.5331,0.0,0.5704,0.4757,0.1549,0.5164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0514,0.0818,0.466,0.8271,0.2738,0.9544,0.5692,0.0402,0.2028,0.2255,0.5777,0.8416,0.8755,0.1904,0.0,0.5924
weekdaydummy4,0.6843,0.7869,0.3332,0.5936,0.2188,0.564,0.1522,0.6005,0.9234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768,0.0624,0.0758,0.3702,0.2576,0.3326,0.7471,0.7703,0.0736,0.1552,0.98,0.9445,0.7973,0.0,0.2589,0.0
weekdaydummy5,0.5303,0.0,0.0,0.0006,0.6858,0.9013,0.1133,0.2284,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7295,0.6984,0.1468,0.2025,0.7813,0.325,0.4193,0.9029,0.9158,0.1237,0.4834,0.8909,0.9895,0.3946,0.0,0.2755
weekdaydummy6,0.5612,0.4118,0.0236,0.0,0.5394,0.8196,0.0329,0.0008,0.2589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9715,0.6625,0.127,0.13,0.9751,0.3583,0.0004,0.6958,0.7816,0.6328,0.8306,0.9195,0.5503,0.3284,0.0
mood_lag1,0.1714,0.0,0.4213,0.6171,0.427,0.0069,0.0001,0.837,0.0,0.6385,0.4147,0.0617,0.0514,0.768,0.7295,0.0,0.0,0.0,0.0,0.0,0.0,0.0059,0.3793,0.0,0.0,0.0,0.0162,0.0036,0.0131,0.6395,0.6619,0.7263
mood_lag2,0.0624,0.0,0.0872,0.8614,0.842,0.0037,0.0,0.7023,0.0,0.0,0.8664,0.516,0.0818,0.0624,0.6984,0.9715,0.0,0.0,0.0,0.0,0.5472,0.0,0.004,0.0,0.0,0.0,0.0084,0.0162,0.0035,0.4621,0.6784,0.6307
mood_lag3,0.0351,0.0,0.2629,0.3291,0.3891,0.001,0.0003,0.8171,0.0008,0.842,0.0,0.8156,0.466,0.0758,0.1468,0.6625,0.0,0.0,0.0,0.0,0.6631,0.5454,0.0,0.0,0.0,0.0,0.0034,0.0069,0.0103,0.608,0.4819,0.8449
mood_lag4,0.008,0.0,0.5817,0.1189,0.7328,0.0035,0.0003,0.1707,0.0,0.6527,0.6472,0.0,0.8271,0.3702,0.2025,0.127,0.0,0.0,0.0,0.0,0.8703,0.6677,0.3629,0.0013,0.0,0.0,0.0014,0.0051,0.0086,0.4574,0.5217,0.3746
circumplex.arousal_lag1,0.81,0.0076,0.8702,0.0432,0.5738,0.0,0.2306,0.0,0.0038,0.0003,0.6613,0.9468,0.2738,0.2576,0.7813,0.13,0.0,0.5472,0.6631,0.8703,0.0,0.0,0.0,0.0,0.4979,0.5157,0.0,0.0,0.0,0.5877,0.2606,0.7574
circumplex.arousal_lag2,0.676,0.5189,0.9078,0.0558,0.5089,0.0,0.3765,0.0,0.1924,0.0345,0.0003,0.5078,0.9544,0.3326,0.325,0.9751,0.0059,0.0,0.5454,0.6677,0.0,0.0,0.0,0.0021,0.0,0.4195,0.0,0.0,0.0,0.7687,0.5741,0.2158
circumplex.arousal_lag3,0.8266,0.7432,0.9765,0.1756,0.1106,0.0,0.4561,0.0,0.7971,0.967,0.013,0.0009,0.5692,0.7471,0.4193,0.3583,0.3793,0.004,0.0,0.3629,0.0,0.0,0.0,0.2028,0.0035,0.0,0.0,0.0,0.0,0.541,0.7425,0.8743
circumplex.valence_lag1,0.0129,0.0,0.3956,0.4497,0.1795,0.0091,0.0001,0.4379,0.0,0.4883,0.3997,0.2412,0.0402,0.7703,0.9029,0.0004,0.0,0.0,0.0,0.0013,0.0,0.0021,0.2028,0.0,0.0,0.0,0.0114,0.0062,0.0198,0.1723,0.3393,0.772
circumplex.valence_lag2,0.0098,0.0,0.206,0.8732,0.109,0.005,0.0,0.4944,0.0,0.0011,0.5784,0.286,0.2028,0.0736,0.9158,0.6958,0.0,0.0,0.0,0.0,0.4979,0.0,0.0035,0.0,0.0,0.0,0.0097,0.0143,0.0071,0.0661,0.111,0.2432
circumplex.valence_lag3,0.0041,0.0001,0.6489,0.8782,0.6628,0.0016,0.0,0.383,0.0,0.8581,0.0003,0.4765,0.2255,0.1552,0.1237,0.7816,0.0,0.0,0.0,0.0,0.5157,0.4195,0.0,0.0,0.0,0.0,0.0026,0.0055,0.0082,0.061,0.125,0.1856
total_appuse_lag1,0.0143,0.0056,0.4784,0.1486,0.2995,0.0,0.0646,0.0,0.0103,0.7582,0.8328,0.8785,0.5777,0.98,0.4834,0.6328,0.0162,0.0084,0.0034,0.0014,0.0,0.0,0.0,0.0114,0.0097,0.0026,0.0,0.0,0.0,0.3815,0.7846,0.4171
total_appuse_lag2,0.0165,0.016,0.596,0.2672,0.4388,0.0,0.0665,0.0,0.0304,0.7088,0.7925,0.9696,0.8416,0.9445,0.8909,0.8306,0.0036,0.0162,0.0069,0.0051,0.0,0.0,0.0,0.0062,0.0143,0.0055,0.0,0.0,0.0,0.3471,0.4694,0.6968
total_appuse_lag3,0.0085,0.0148,0.6863,0.1316,0.2954,0.0,0.0688,0.0,0.0093,0.7533,0.7463,0.9883,0.8755,0.7973,0.9895,0.9195,0.0131,0.0035,0.0103,0.0086,0.0,0.0,0.0,0.0198,0.0071,0.0082,0.0,0.0,0.0,0.4542,0.3361,0.3917
max_temp_lag1,0.0,0.7431,0.0,0.0,0.0,0.7312,0.9891,0.3285,0.411,0.6185,0.922,0.0,0.1904,0.0,0.3946,0.5503,0.6395,0.4621,0.608,0.4574,0.5877,0.7687,0.541,0.1723,0.0661,0.061,0.3815,0.3471,0.4542,0.0,0.0,0.0
max_temp_lag2,0.0,0.896,0.0,0.0,0.0,0.4461,0.8438,0.7006,0.9771,0.9814,0.1798,0.6689,0.0,0.2589,0.0,0.3284,0.6619,0.6784,0.4819,0.5217,0.2606,0.5741,0.7425,0.3393,0.111,0.125,0.7846,0.4694,0.3361,0.0,0.0,0.0
max_temp_lag3,0.0,0.7723,0.0,0.9389,0.0,0.2581,0.4677,0.7498,0.8332,0.1046,0.6315,0.3022,0.5924,0.0,0.2755,0.0,0.7263,0.6307,0.8449,0.3746,0.7574,0.2158,0.8743,0.772,0.2432,0.1856,0.4171,0.6968,0.3917,0.0,0.0,0.0
